2026-03-13T14:15:58.033622,what is stock amrket,yes
2026-03-13T14:16:11.057164,what is stock amrket,no
2026-03-13T14:16:12.142959,what is stock amrket,yes
2026-03-13T14:31:50.187465,Explain the differences between NSE/BSE and US markets for a new investor.,yes
2026-03-13T14:32:16.641110,Explain the differences between NSE/BSE and US markets for a new investor.,yes
2026-03-13T14:32:20.989006,Explain the differences between NSE/BSE and US markets for a new investor.,yes
2026-03-13T14:32:22.769128,Explain the differences between NSE/BSE and US markets for a new investor.,yes
2026-03-13T14:32:35.917907,What are the latest news and risks around INFY stock today?,yes
2026-03-13T14:32:51.123933,What are the latest news and risks around INFY stock today?,yes
2026-03-13T14:33:34.567720,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:33:45.843089,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:33:50.295457,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:33:53.168159,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:34:13.899012,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:40:10.452382,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:40:19.160998,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:40:27.629634,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:40:46.457536,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:40:47.287154,“How can a beginner diversify across Indian and US market?,yes
2026-03-13T14:41:38.735308,what is stock market,yes
2026-03-13T14:41:42.789668,what is stock market,no
2026-03-13T14:41:43.827342,what is stock market,yes
2026-03-13T14:41:46.177705,what is stock market,yes
2026-03-13T14:41:53.582365,what is stock market,yes
2026-03-13T15:10:50.493366,Can you summarise the document ???,yes
